id quake blast
909131 0.36 0.64
1138710 0.38 0.62
459874 1.00 0.00
458146 0.18 0.82
67323 0.27 0.73
567954 0.99 0.01
401100 1.00 0.00
1230310 0.99 0.01
1374713 1.00 0.00
979155 0.89 0.11
1464702 1.00 0.00
1105824 0.78 0.22
894114 0.99 0.01
594578 1.00 0.00
955927 1.00 0.00
631633 1.00 0.00
1164009 0.91 0.09
1138717 0.93 0.07
893086 0.99 0.01
59195 0.34 0.66
1126488 0.99 0.01
1129173 1.00 0.00
670582 0.80 0.20
72846 0.20 0.80
441917 0.95 0.05
601952 0.18 0.82
586355 0.59 0.41
1273458 1.00 0.00
157549 0.08 0.92
777177 0.48 0.52
667075 1.00 0.00
99155 0.00 1.00
1327170 0.99 0.01
751023 0.68 0.32
15088 0.15 0.85
1082074 0.99 0.01
1371013 0.83 0.17
996112 1.00 0.00
1255370 0.98 0.02
933804 1.00 0.00
1286513 0.98 0.02
825480 0.98 0.02
426903 1.00 0.00
1446699 0.97 0.03
1408360 0.96 0.04
355813 0.79 0.21
1347436 1.00 0.00
1013123 1.00 0.00
1483667 0.99 0.01
218391 0.49 0.51
1454819 0.99 0.01
1461158 0.92 0.08
549256 0.10 0.90
1514075 0.59 0.41
365794 1.00 0.00
1359280 0.98 0.02
916905 0.65 0.35
1012567 0.91 0.09
1236028 0.99 0.01
322393 0.75 0.25
1038580 0.73 0.27
949735 0.12 0.88
1391826 1.00 0.00
822178 0.57 0.43
315703 1.00 0.00
1041482 0.97 0.03
1136261 0.82 0.18
739797 0.99 0.01
80612 0.56 0.44
108935 0.01 0.99
1179226 1.00 0.00
971052 0.98 0.02
1188502 0.20 0.80
1079419 1.00 0.00
26746 0.10 0.90
495093 0.92 0.08
1326366 0.98 0.02
80663 0.04 0.96
1474090 1.00 0.00
1326394 1.00 0.00
852320 0.70 0.30
1140168 1.00 0.00
1305073 0.91 0.09
688489 0.67 0.33
1044094 0.98 0.02
86591 0.02 0.98
492654 0.89 0.11
907650 1.00 0.00
1183105 1.00 0.00
1133105 0.62 0.38
80682 0.03 0.97
457061 0.52 0.48
26740 0.01 0.99
694011 0.99 0.01
1020717 1.00 0.00
667049 1.00 0.00
619555 0.90 0.10
317586 0.96 0.04
1415174 1.00 0.00
1421133 1.00 0.00
440248 0.90 0.10
249136 0.00 1.00
1007874 1.00 0.00
446256 1.00 0.00
1182145 1.00 0.00
1259363 1.00 0.00
1437577 1.00 0.00
1348407 0.98 0.02
652701 0.48 0.52
1138711 0.80 0.20
1408058 1.00 0.00
627502 1.00 0.00
338023 0.99 0.01
1319186 0.94 0.06
44000 0.00 1.00
862030 1.00 0.00
1176175 0.99 0.01
999379 0.15 0.85
707652 1.00 0.00
1335044 1.00 0.00
1119263 0.98 0.02
547095 1.00 0.00
901275 0.98 0.02
388450 1.00 0.00
806955 0.52 0.48
1075174 0.38 0.62
316914 0.98 0.02
1256874 0.47 0.53
826075 0.28 0.72
442272 0.05 0.95
617776 1.00 0.00
102212 0.00 1.00
473461 0.94 0.06
834995 0.52 0.48
511177 1.00 0.00
1150578 1.00 0.00
779842 0.40 0.60
980110 1.00 0.00
564348 0.87 0.13
528003 1.00 0.00
41256 0.04 0.96
4692 0.01 0.99
149848 0.18 0.82
1126698 0.75 0.25
397345 1.00 0.00
516371 0.97 0.03
108933 0.00 1.00
388689 0.81 0.19
1215523 0.54 0.46
94454 0.00 1.00
1065791 1.00 0.00
1006934 0.99 0.01
828826 1.00 0.00
93172 0.00 1.00
885191 1.00 0.00
547082 1.00 0.00
1126046 0.97 0.03
890794 1.00 0.00
1469573 1.00 0.00
1536881 0.78 0.22
551966 1.00 0.00
744263 0.97 0.03
804068 1.00 0.00
92273 0.01 0.99
73081 0.15 0.85
897353 1.00 0.00
715578 0.98 0.02
424122 1.00 0.00
757502 1.00 0.00
1160025 1.00 0.00
692076 0.38 0.62
382675 0.96 0.04
62426 0.22 0.78
